VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,ContinueResp.keys,ContinueResp.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.rt,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,PracticeTrials.ran,SoundFile,Type,StartTast.keys,StartTast.rt,MST_resp.keys,MST_resp.corr,MST_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,WordCorrect,Correct_type,WordType,Condition,WordTask.thisRepN,WordTask.thisTrialN,WordTask.thisN,WordTask.thisIndex,WordTask.ran,ExitKey.keys,ExitKey.rt,Feedbackbox.text
,,,,,,,,,,,,TestWords/WAI_NA_VU.wav,,5bb8b36656161d0001002ee4,2021-06-17_20h31.51.499,Combined_MST,2020.2.10,Win32,60,,,,,,,,,,,,,,,,2,1,0.7215,0,11,11,11,1,2,NEW,SIMILAR,F,,,,,,,,
,,,,,,,,,,,,TestWords/DA_CHU_VAI.wav,,5bb8b36656161d0001002ee4,2021-06-17_20h31.51.499,Combined_MST,2020.2.10,Win32,60,,,,,,,,,,,,,,,,2,1,0.8598,0,12,12,12,1,2,NEW,NEW,F,,,,,,,,
,,,,,,,,,,,,TestWords/KAI_LAY_TA.wav,,5bb8b36656161d0001002ee4,2021-06-17_20h31.51.499,Combined_MST,2020.2.10,Win32,60,,,,,,,,,,,,,,,,2,0,5.2889,0,13,13,13,1,1,OLD,OLD,F,,,,,,,,
,,,,,,,,,,,,TestWords/KO_SU_FAI.wav,,5bb8b36656161d0001002ee4,2021-06-17_20h31.51.499,Combined_MST,2020.2.10,Win32,60,,,,,,,,,,,,,,,,1,1,1.1406,0,14,14,14,1,1,OLD,OLD,F,,,,,,,,
,,,,,,,,,,,,TestWords/VU_NA_WAI.wav,,5bb8b36656161d0001002ee4,2021-06-17_20h31.51.499,Combined_MST,2020.2.10,Win32,60,,,,,,,,,,,,,,,,2,1,0.5862,0,15,15,15,1,2,NEW,SIMILAR,F,,,,,,,,
,,,,,,,,,,,,TestWords/DAI_RU_CHI.wav,,5bb8b36656161d0001002ee4,2021-06-17_20h31.51.499,Combined_MST,2020.2.10,Win32,60,,,,,,,,,,,,,,,,2,0,0.844,0,16,16,16,1,1,OLD,OLD,F,,,,,,,,
,,,,,,,,,,,,TestWords/KAY_LI_BA.wav,,5bb8b36656161d0001002ee4,2021-06-17_20h31.51.499,Combined_MST,2020.2.10,Win32,60,,,,,,,,,,,,,,,,2,1,1.2031,0,17,17,17,1,2,NEW,SIMILAR,F,,,,,,,,
,,,,,,,,,,,,TestWords/RAY_PA_TI.wav,,5bb8b36656161d0001002ee4,2021-06-17_20h31.51.499,Combined_MST,2020.2.10,Win32,60,,,,,,,,,,,,,,,,2,1,0.6895,0,18,18,18,1,2,NEW,NEW,F,,,,,,,,
,,,,,,,,,,,,TestWords/KAI_LAY_TA.wav,,5bb8b36656161d0001002ee4,2021-06-17_20h31.51.499,Combined_MST,2020.2.10,Win32,60,,,,,,,,,,,,,,,,2,0,1.5095,0,19,19,19,1,1,OLD,OLD,F,,,,,,,,
,,,,,,,,,,,,TestWords/VU_WAI_NA.wav,,5bb8b36656161d0001002ee4,2021-06-17_20h31.51.499,Combined_MST,2020.2.10,Win32,60,,,,,,,,,,,,,,,,1,0,0.4178,0,20,20,20,1,2,NEW,SIMILAR,F,,,,,,,,
,,,,,,,,,,,,TestWords/KO_SU_FAI.wav,,5bb8b36656161d0001002ee4,2021-06-17_20h31.51.499,Combined_MST,2020.2.10,Win32,60,,,,,,,,,,,,,,,,1,1,1.4634,0,21,21,21,1,1,OLD,OLD,F,,,,,,,,
,,,,,,,,,,,,TestWords/HI_NAY_VA.wav,,5bb8b36656161d0001002ee4,2021-06-17_20h31.51.499,Combined_MST,2020.2.10,Win32,60,,,,,,,,,,,,,,,,1,0,0.935,0,22,22,22,1,2,NEW,NEW,F,,,,,,,,
,,,,,,,,,,,,TestWords/KAI_LAY_TA.wav,,5bb8b36656161d0001002ee4,2021-06-17_20h31.51.499,Combined_MST,2020.2.10,Win32,60,,,,,,,,,,,,,,,,1,1,1.3183,0,23,23,23,1,1,OLD,OLD,F,,,,,,,,
,,,,,,,,,,,,TestWords/RAY_PA_TI.wav,,5bb8b36656161d0001002ee4,2021-06-17_20h31.51.499,Combined_MST,2020.2.10,Win32,60,,,,,,,,,,,,,,,,1,1,1.4222,0,24,24,24,1,1,OLD,OLD,F,,,,,,,,
,,,,,,,,,,,,TestWords/DAI_RU_CHI.wav,,5bb8b36656161d0001002ee4,2021-06-17_20h31.51.499,Combined_MST,2020.2.10,Win32,60,,,,,,,,,,,,,,,,2,0,0.7183,0,25,25,25,1,1,OLD,OLD,F,,,,,,,,
